DMR No,DMR Date,Originator,Status,Site,Hold Reason,Initial Qty,Department,MT #,2nd MT#,RMA,Lot #,Part #,Part Desc,Supplier,Inv Loc,Is MDW,Commodity,Discrepancy Rmk,DMR Ref,First Eval Result,First Eval Date,First SSide Qty,First DSide Qty,First UAI Qty,First Scrap Qty,First Evaluator,Second Eval Result,Second Eval Date,Second SSide Qty,Second DSide Qty,Second UAI Qty,Second Scrap Qty,Second Evaluator,Manager Name,Director Name,Manufacturing,Manufacturing Sup,Process,Materials,Test Engineering,Quality,Scrap Authority (Prod),Scrap Authority (Plant),Finance,IQA,Manufacturing 2,Manufacturing Sup 2,Process 2,Materials 2,Test Engineering 2,Quality 2,Scrap Authority (Prod) 2,Scrap Authority (Plant) 2,Finance 2,IQA 2,Evaluation Step,Total Scrap Cost
W1450837006,3/18/2025 11:04:55 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,140,Production Cell#C,RXBR021352,,R25P44259KRTRTV(80474622),,208558203,Summit DS,,BCONMDW,F,RMA(GL),SMITB DS Pull back for Cassette Level Sorting+Non Affected UAI&Ship +Affected go CC sorting Non Affecetd UAI &Ship+affected go for scrap+R:Prime RTV Lot,,After Cassette Level Sorting Non Affected=0pcs UAI&Ship +Affected=140pcs go CC sorting Non Affecetd=105pcs UAI &Ship+affected=35pcs go for scrap,3/18/2025 4:40:24 PM,0,105,105,35,Kit Hiong Chan,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$150.50
W1450837424,3/18/2025 1:27:04 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,3780,Production Cell#5,RXBR021383,RXBR021394,R25J44223WXIRMA(80471478),,207624201,V15CMR DS,,ACONMDW,F,RMA(AL),V15MR DS Pull back for 100% Wipe+OD Edge Wipe(TA#FFU-RMATDDM)+(V156E)+Flash Test+Glide DS P/N:207624200(SA"B"E1)+MDW out as V15CM DS:207624201,,After Glide	 Total Pend MDW FG DS	3232 Flash Reject	401 Test Scrap	147 Total Scrap	548 DS Qty=3232pcs	 ,4/5/2025 1:50:36 PM,0,3232,3232,548,Kit Hiong Chan,MDW IN	3232 Total FG DS	1995 Total Scrap	1237 MDW DS Yield	60% ,4/6/2025 10:41:55 AM,0,1995,1995,1237,Sai Mooy Khoo,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$7068.60
W1450837425,3/18/2025 1:29:13 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,5040,Production Cell#5,RXBR021415,RXBR021417,R25J44090WXIDRW&R25J44149WXIDRW(80450641&80461110),3360/1680,207624201,V15CMR DS,,ACONMDW,F,RMA(AL),V15MR DS Pull back for 100% Wipe+OD Edge Wipe(TA#DRW-RMATDDM)+(V156E)+Flash Test+Glide DS P/N:207624200(SA"B"E1)+MDW out as V15CM DS:207624201,,After Glide	 Total Pend MDW FG DS	4289 Flash Reject	465 Test Scrap	286 Total Scrap	751 DS Qty=4289pcs	 ,4/12/2025 8:55:59 AM,0,4289,4289,751,Kit Hiong Chan,MDW in=4289pcs FG DS=2660pcs Scrap=1629pcs,4/14/2025 2:55:53 PM,0,2660,2660,1629,Meow Cheng Loh,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$9424.80
W1450837494,3/18/2025 2:08:55 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,2700,Production Cell#B,RXBR021370,RXBR021382,R25J44197WXIDRWR25J44228WXIDRW&R25J44229WXIDRW(8046613580471478&80471478),900/900/900,204181102,Rosewood DS,,BCONMDW,F,RMA(GL),Rosewood DS 100%W/B/W+Flash Test+Burnish Glide(RW14E)(DRW-RMATDDM)DS:204181100(SA'C'BS)Bin25+SST:204181103(BV)+SSB:204181106(BZ)+MDWS/Aperio DS:204181101+SST:204181104/1107,W1455308808W1454580153,After Glide	 Total Pend MDW	1747 Total Pend MDW FG DS	1387 Pend MDW FG SS	360 Flash Reject	879 Test Scrap	74 Total Scrap	953 DS Qty=1387pcs	 SST Qty=159pcs	 SSB Qty=201pcs	 ,4/3/2025 9:28:12 AM,360,1387,1747,953,Kit Hiong Chan,MDW IN=1747 Total FG DS=900 SS Bin P125=50 SS Bin P225=150 Total Scrap=647 MDW DS Yield=73% MDW SS Yield=18% CB:Fun,4/3/2025 9:29:20 AM,200,900,1100,287,Kit Hiong Chan,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$5332.00
W1450837510,3/18/2025 2:17:12 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,2250,Production Cell#B,RXBR021382,RXBR021395,R25J43980WXIRCYR25J44050WXIRCYR25J44198WXIRCY&R25J44232WXIRCY(804316818044206380466135&80471478),450/450/450/450/450,204181102,Rosewood SSB,,BCONMDW,F,RMA(GL),Rosewood SSB 100%W/B/W+Flash Test+Burnish Glide(RW14E)(RMALIT-SM)HDW out as SSB:204181106(SA'C'BZ)B225+MDW/Aperio SSB:204181107+Remarks:RCY Media,,After Glide	 Total Pend MDW FG SSB	1897 Flash Reject	312 Test Scrap	41 Total Scrap	353 SSB Qty=1897pcs	 ,4/3/2025 10:33:54 AM,1897,0,1897,353,Kit Hiong Chan,MDW IN	1897 Total FG SS	1650 Total Scrap	247 MDW SS Yield	87% ,4/7/2025 9:19:54 AM,1650,0,1650,247,Chia Yun Pang,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-,Approved,Pending,-,-,Approved,-,Pending,-,-,-,HDW & MDW,$2580.00
W1454580161,4/3/2025 2:01:04 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,400,Production Cell#B,RXBR021382,,Pls refer to DMR Attachment,270/130,204181102,Rosewood SSB,,BCONMDW,F,RMA(GL),Rosewood AW MDW SSB(RW14E)(FFU-RMATDDM)SSB:100841106(SA"C"BZ)+MDWS/Aperio SSB:204181107+Drive Return Wuxi,W1450321547W1452284311,MDW IN	400 Total FG SS	300 Total Scrap	100 MDW SS Yield	75% ,4/6/2025 12:27:26 PM,300,0,300,100,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$430.00
W1454580178,4/3/2025 2:07:34 PM,Kit Hiong Chan,Pending Approval,Woodlands,Customer Returns,801,Production Cell#B,RXBR021382,,Pls refer to DMR Attachment,497/304,204181102,Rosewood SSB,,BCONMDW,F,RMA(GL),Rosewood AW MDW SSB(RW14E)(FFU-RMATDDM)SSB:100841106(SA"C"BZ)+MDWS/Aperio SSB:204181107+Drive Return Wuxi,W1450321556W1450321549,MDW IN	801 Total FG SS	550 Total Scrap	251 MDW SS Yield	68% ,4/6/2025 12:29:44 PM,550,0,550,251,Chia Yun Pang,,,,,,, ,Kok Huat Ong,Bock Teck Tan,Approved,Pending,-,-,Approved,-,Pending,-,-,-, , ,-,-, ,-, ,-,-,-,MDW Only,$1079.30
W1450321547,3/16/2025 8:43:28 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,2250,Production Cell#B,RXBR021352,RXBR021365,R25J44193WXIRMA&R25J44194WXIRMA(80466135),1350/900,204181102,Rosewood DS,,BCONMDW,F,RMA(GL),Rosewood DS 100%W/B/W+Flash Test+Burnish Glide(RW14E)(FFU-RMATDDM)DS:204181100(SA'C'BS)Bin25+SST:204181103(BV)+SSB:204181106(BZ)+MDWS/Aperio DS:204181101+SST:204181104/1107,W1455123897W1454580161,After Glide	 Total Pend MDW	1594 Total Pend MDW FG DS	1163 Pend MDW FG SS	431 Flash Reject	543 Test Scrap	113 Total Scrap	656 DS Qty=1163pcs	 SST Qty=161pcs	 SSB Qty=270pcs	 ,3/18/2025 4:44:51 PM,431,1163,1594,656,Kit Hiong Chan,MDW IN	1163 Total FG DS	700 SS Bin 125	0 SS Bin 225	150 Total Scrap	313 MDW DS Yield	61% MDW SS Yield	15% ,3/24/2025 1:43:32 PM,150,700,850,313,Bee Ling Lim,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-,Approved,Approved,-,-,Approved,-,Approved,-,-,-,HDW & MDW,$4166.70
W1450321549,3/16/2025 8:45:40 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,4050,Production Cell#B,RXBR021362,RXBR021365,R25P44248KRTRMA&R25J44224WXIRMA(80474818&80471478),3150/900,204181102,Rosewood DS,,BCONMDW,F,RMA(GL),Rosewood DS 100%W/B/W+Flash Test+Burnish Glide(RW14E)(FFU-RMATDDM)DS:204181100(SA'C'BS)Bin25+SST:204181103(BV)+SSB:204181106(BZ)+MDWS/Aperio DS:204181101+SST:204181104/1107,W1455124068W1454580178,After Glide	 Total Pend MDW	3088 Total Pend MDW FG DS	2463 Pend MDW FG SS	625 Flash Reject	781 Test Scrap	181 Total Scrap	962 DS Qty=2463pcs	 SST Qty=321pcs	 SSB Qty=304pcs	 ,3/20/2025 6:05:31 PM,625,2463,3088,962,Kit Hiong Chan,MDW IN	2463 Total FG DS	1900 SS Bin 125	250 SS Bin 225	0 Total Scrap	313 MDW DS Yield	78% MDW SS Yield	12% ,3/24/2025 1:38:45 PM,250,1900,2150,313,Bee Ling Lim,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-,Approved,Approved,-,-,Approved,-,Approved,-,-,-,HDW & MDW,$5482.50
W1450321556,3/16/2025 8:47:44 AM,Kit Hiong Chan,Approved,Woodlands,Customer Returns,5398,Production Cell#B,RXBR021357(550pcs)&RXBR021359(170pcs),RXBR021365,R25P44143KRTRMA&R25P44171KRTRMA(80460994&80465839),2700/2698,204181102,Rosewood DS,,BCONMDW,F,RMA(GL),Rosewood DS 100%W/B/W+Flash Test+Burnish Glide(RW14E)(FFU-RMATDDM)DS:204181100(SA'C'BS)Bin25+SST:204181103(BV)+SSB:204181106(BZ)+MDWS/Aperio DS:204181101+SST:204181104/1107,W1455124068W1454580178,After Glide	 Total Pend MDW	4678 Total Pend MDW FG DS	3869 Pend MDW FG SS	809 Flash Reject	550 Test Scrap	170 Total Scrap	720 DS Qty=4848pcs	 SST Qty=312pcs	 SSB Qty=497pcs	 ,3/20/2025 8:26:55 AM,809,3869,4678,720,Kit Hiong Chan,MDW IN	3869 Total FG DS	3150 SS Bin 125	0 SS Bin 225	250 Total Scrap	469 MDW DS Yield	82% MDW SS Yield	8% ,3/24/2025 1:44:15 PM,250,3150,3400,469,Bee Ling Lim,Kok Huat Ong,Bock Teck Tan,Approved,Approved,-,-,Approved,-,Approved,-,-,-,Approved,Approved,-,-,Approved,-,Approved,-,-,-,HDW & MDW,$5112.70
